customer_id,age,gender,tenure,monthly_charges,total_charges,contract_type,internet_service,online_security,tech_support,streaming_tv,monthly_usage_gb,support_calls,payment_delay,churn
1,56,Male,7,31.91,1554.52,Two year,Fiber optic,No,No,No internet service,792,8,0,1
2,69,Male,9,44.45,1190.56,Two year,Fiber optic,Yes,No,No,521,3,2,1
3,46,Female,48,90.13,57.3,Two year,No,No internet service,No,Yes,531,8,2,1
4,32,Male,59,99.71,3660.26,One year,No,No,No,No,72,5,0,0
5,60,Male,39,49.46,4835.89,Two year,No,No internet service,No,No internet service,609,0,0,0
6,25,Female,18,55.89,1160.25,Two year,DSL,No internet service,No internet service,No internet service,158,9,1,0
7,78,Male,59,77.77,3332.08,Month-to-month,No,No internet service,Yes,Yes,345,5,1,0
8,38,Male,17,90.9,3722.39,Two year,DSL,No internet service,No,No internet service,55,8,2,1
9,56,Male,14,67.44,4249.71,Month-to-month,Fiber optic,No internet service,Yes,No,599,1,1,0
10,75,Male,31,51.32,2142.01,Month-to-month,Fiber optic,No internet service,No internet service,Yes,730,5,1,0
11,36,Male,24,53.01,1549.51,Two year,No,No,No,Yes,917,1,2,0
12,40,Female,60,75.65,1660.21,Month-to-month,DSL,No internet service,Yes,No,844,3,1,0
13,28,Male,45,20.26,3577.48,One year,No,Yes,No,Yes,252,7,0,1
14,28,Male,3,69.57,4093.06,One year,No,No,No,Yes,374,6,1,1
15,41,Male,37,48.44,948.99,Two year,DSL,Yes,No,No,874,8,2,1
16,70,Male,43,83.54,1886.16,One year,No,No internet service,No,Yes,834,6,0,1
17,53,Male,40,27.44,4514.6,Month-to-month,Fiber optic,Yes,No,Yes,293,0,1,0
18,57,Female,55,67.06,4043.13,One year,No,No internet service,No,No,376,1,0,0
19,41,Male,39,58.48,4925.05,Two year,DSL,No internet service,No,No internet service,96,5,0,0
20,20,Female,15,71.39,3783.53,Two year,DSL,No,No internet service,No,810,6,1,0
21,39,Female,4,25.19,1996.32,Month-to-month,Fiber optic,No,No internet service,Yes,640,2,1,1
22,70,Male,25,66.4,2973.66,Two year,DSL,No internet service,No,No,671,8,2,1
23,19,Male,13,64.92,3322.02,One year,DSL,No,No,Yes,62,6,2,1
24,41,Male,33,64.85,438.36,Two year,Fiber optic,Yes,No internet service,Yes,956,5,0,0
25,61,Male,16,68.28,2745.26,Month-to-month,No,No,No internet service,No,429,5,2,1
26,47,Female,42,74.12,3561.14,Two year,Fiber optic,No,No internet service,Yes,414,0,0,0
27,55,Male,66,84.4,878.24,One year,No,Yes,No,No internet service,651,4,0,0
28,19,Male,55,41.59,3914.13,Month-to-month,Fiber optic,No,Yes,Yes,391,9,2,1
29,77,Male,42,86.0,2939.68,One year,No,No internet service,Yes,No,909,2,2,0
30,38,Male,34,59.86,4763.5,Month-to-month,Fiber optic,Yes,Yes,No internet service,841,6,2,1
31,50,Male,30,26.16,259.99,Two year,No,No internet service,Yes,No internet service,270,9,1,0
32,29,Male,13,24.68,1363.36,Month-to-month,Fiber optic,Yes,No,Yes,122,2,0,0
33,75,Female,13,46.74,3027.69,Month-to-month,No,No internet service,Yes,No,795,4,0,0
34,39,Female,18,82.79,1517.97,Two year,Fiber optic,No internet service,No internet service,Yes,821,6,0,1
35,78,Male,32,76.61,3586.4,One year,DSL,No,No internet service,Yes,674,2,2,0
36,61,Male,39,83.09,3807.08,Two year,No,No internet service,Yes,No,95,9,2,1
37,42,Male,46,61.38,557.45,Month-to-month,Fiber optic,No,No internet service,No,553,1,2,1
38,66,Female,29,55.22,2593.58,Two year,No,Yes,No,Yes,323,5,2,0
39,44,Male,62,31.8,2569.01,Month-to-month,No,No internet service,Yes,No internet service,604,7,2,1
40,76,Female,62,46.26,1877.94,Two year,Fiber optic,No internet service,Yes,Yes,257,3,1,0
41,59,Male,57,54.72,4667.98,Two year,No,Yes,No,No internet service,978,8,2,1
42,45,Male,16,27.09,4146.16,One year,Fiber optic,Yes,No internet service,Yes,910,7,0,0
43,77,Male,56,37.65,3501.19,Month-to-month,DSL,No internet service,No,No,664,6,2,1
44,33,Male,10,67.86,3585.92,One year,No,Yes,No,No internet service,173,6,0,1
45,32,Female,30,78.85,2335.49,Month-to-month,DSL,No,No internet service,No,59,2,2,1
46,79,Female,25,99.87,4608.92,Two year,No,Yes,No,No,378,5,2,1
47,79,Male,5,94.65,3488.25,Month-to-month,No,Yes,No internet service,No,236,4,0,1
48,64,Male,65,71.41,3658.46,One year,No,No internet service,No internet service,No,592,0,0,0
49,79,Female,49,53.7,4315.37,One year,Fiber optic,No,No,No,717,2,0,0
50,68,Female,3,70.89,1406.65,One year,DSL,Yes,No internet service,Yes,109,0,0,0
51,61,Female,45,82.85,4045.0,Month-to-month,No,No,No,No internet service,810,3,1,1
52,72,Female,14,29.47,1016.44,One year,Fiber optic,No,No internet service,Yes,948,9,0,0
53,69,Male,30,52.79,1759.44,One year,No,No,Yes,Yes,935,2,2,0
54,74,Female,68,87.18,1711.27,One year,Fiber optic,No internet service,No internet service,Yes,831,3,2,0
55,20,Male,18,50.71,4893.7,Two year,No,Yes,No internet service,No,491,8,1,0
56,54,Female,62,65.75,4289.86,Two year,DSL,No internet service,No,Yes,266,2,0,0
57,68,Female,37,67.02,3520.79,Month-to-month,DSL,Yes,No internet service,No internet service,960,5,2,1
58,24,Female,25,34.76,3648.93,Month-to-month,No,Yes,Yes,Yes,51,5,1,0
59,38,Female,48,48.98,2832.26,One year,Fiber optic,No internet service,Yes,No,585,6,2,1
60,26,Female,65,46.76,4738.1,Two year,No,No,No internet service,No internet service,767,8,1,0
61,56,Male,53,22.1,2506.48,One year,Fiber optic,No,No internet service,No internet service,881,6,1,0
62,35,Male,15,21.94,1933.56,One year,No,Yes,Yes,No internet service,760,0,0,0
63,21,Female,49,86.54,857.02,Two year,Fiber optic,No internet service,No,No internet service,405,7,1,1
64,42,Female,68,41.85,3941.72,Two year,DSL,No,Yes,Yes,675,4,2,0
65,77,Male,12,61.45,3685.5,Two year,No,No,Yes,No,841,8,2,1
66,31,Female,59,43.9,1952.56,Month-to-month,DSL,Yes,No internet service,No internet service,716,9,0,1
67,67,Female,37,95.25,174.71,Month-to-month,DSL,Yes,No internet service,No internet service,214,4,0,0
68,75,Male,61,40.74,4203.04,One year,No,No internet service,Yes,No,783,4,1,0
69,26,Female,43,54.37,106.52,Month-to-month,No,Yes,No,Yes,140,1,0,0
70,43,Female,70,89.82,3533.31,Two year,Fiber optic,No,Yes,No internet service,216,2,2,0
71,70,Male,39,87.35,4852.77,Two year,Fiber optic,No,Yes,Yes,256,9,2,1
72,19,Male,56,34.89,2216.42,Month-to-month,DSL,No,No,Yes,331,8,0,1
73,37,Male,63,84.21,1213.12,One year,Fiber optic,No,Yes,Yes,114,6,0,1
74,45,Female,46,56.65,3539.11,One year,Fiber optic,No internet service,Yes,Yes,937,0,0,0
75,64,Male,11,58.64,4094.78,Month-to-month,No,No internet service,No internet service,No internet service,565,2,1,1
76,77,Male,62,30.68,2754.83,One year,Fiber optic,Yes,No,No internet service,206,1,1,0
77,24,Male,25,26.45,4836.82,One year,DSL,Yes,No internet service,Yes,810,0,2,0
78,61,Male,71,78.24,305.76,One year,Fiber optic,Yes,No internet service,Yes,818,8,1,0
79,78,Male,52,59.72,2548.74,Two year,DSL,No internet service,No,No,796,7,1,1
80,25,Male,4,54.95,3606.35,Two year,No,No,No,No,355,4,1,0
81,64,Female,59,78.36,4320.07,Month-to-month,DSL,Yes,Yes,No,927,1,1,0
82,52,Female,20,81.24,937.32,Two year,Fiber optic,No,No internet service,No internet service,444,0,2,0
83,31,Male,63,32.71,4010.02,One year,No,Yes,No,No,123,6,0,1
84,34,Male,54,68.82,2785.9,Two year,Fiber optic,Yes,No internet service,No internet service,236,1,2,0
85,53,Male,57,30.83,2012.94,Month-to-month,No,Yes,No internet service,No internet service,623,0,1,0
86,67,Female,41,80.11,701.99,Two year,No,Yes,No,No internet service,386,1,0,0
87,57,Female,3,72.56,4333.21,One year,Fiber optic,Yes,Yes,No internet service,725,6,0,1
88,21,Female,6,96.53,828.5,One year,Fiber optic,No,No internet service,No,617,6,0,1
89,19,Female,5,25.52,1583.45,Month-to-month,No,Yes,No,Yes,672,9,2,1
90,79,Female,5,24.56,1485.73,Two year,No,No,Yes,Yes,779,5,0,0
91,23,Female,54,42.57,4363.5,Two year,Fiber optic,No internet service,No internet service,Yes,289,4,2,0
92,71,Female,47,40.94,3379.88,Two year,DSL,Yes,No,No,582,2,2,0
93,59,Female,49,39.76,3993.57,One year,Fiber optic,No,No internet service,Yes,190,2,1,0
94,21,Female,9,92.5,1289.82,Month-to-month,No,No internet service,No,No,314,8,1,1
95,71,Male,20,39.96,3143.13,Two year,Fiber optic,No internet service,No,No,188,3,0,0
96,46,Male,61,41.76,2880.14,One year,DSL,No internet service,No internet service,No,508,8,0,0
97,35,Male,35,80.75,4172.51,One year,Fiber optic,No,No internet service,Yes,119,3,1,0
98,43,Male,50,55.98,4535.13,One year,No,Yes,No,Yes,434,1,2,0
99,61,Female,62,82.14,110.18,Two year,Fiber optic,Yes,Yes,Yes,679,3,2,0
100,51,Female,17,25.23,3386.4,Two year,No,No,No internet service,No internet service,247,5,1,0
101,27,Male,3,59.01,306.59,Two year,No,Yes,No,No,254,5,2,1
102,79,Female,32,22.69,2766.85,Two year,Fiber optic,No,No,No internet service,775,4,1,0
103,53,Male,13,25.01,1473.78,Two year,No,Yes,Yes,No,617,0,1,0
104,31,Female,68,92.51,1568.54,Two year,No,No internet service,Yes,Yes,848,2,0,0
105,48,Male,14,31.14,1797.14,Two year,DSL,Yes,Yes,No,854,4,0,0
106,65,Female,11,62.59,3125.4,Two year,DSL,No,No internet service,No,736,5,1,0
107,32,Female,56,52.89,1703.55,Two year,DSL,No,No,No internet service,908,0,0,0
108,25,Male,67,47.79,3676.86,One year,DSL,No internet service,No,No,931,8,1,1
109,31,Female,29,91.99,2052.41,Two year,No,No,No,Yes,689,2,2,1
110,40,Male,9,21.75,388.35,Month-to-month,Fiber optic,Yes,Yes,No,480,9,2,1
111,77,Male,67,73.1,3929.61,One year,No,Yes,No,No,939,2,2,0
112,74,Male,25,97.07,1464.5,Two year,No,No internet service,No internet service,No,374,1,2,0
113,79,Male,42,64.81,2192.2,Month-to-month,No,No,Yes,No internet service,491,7,1,1
114,57,Female,9,94.95,3442.95,Two year,Fiber optic,No internet service,Yes,No,853,2,2,1
115,38,Female,40,24.18,1695.66,Month-to-month,DSL,Yes,Yes,No,337,5,2,1
116,33,Female,25,53.5,330.1,Month-to-month,No,No internet service,Yes,No internet service,275,1,2,1
117,62,Male,5,40.81,1900.91,Month-to-month,No,No,No internet service,No internet service,113,6,2,1
118,35,Female,11,78.47,4725.02,Month-to-month,DSL,No internet service,No,No internet service,987,3,1,1
119,64,Male,59,98.5,3226.59,One year,No,No,No internet service,No internet service,609,8,2,1
120,70,Female,38,40.52,3373.82,One year,Fiber optic,No,No,Yes,763,9,0,1
121,41,Female,5,72.33,3179.8,Month-to-month,No,Yes,No internet service,Yes,547,8,0,1
122,43,Female,48,35.85,1035.01,Two year,No,Yes,Yes,No,898,6,0,0
123,42,Male,18,65.23,2120.75,Month-to-month,DSL,Yes,Yes,Yes,975,7,0,1
124,77,Female,70,57.11,3767.15,One year,No,No,No internet service,No,966,2,0,0
125,77,Female,37,97.76,551.8,Two year,No,No internet service,No internet service,Yes,109,4,0,0
126,77,Male,60,68.68,1425.37,One year,Fiber optic,No,No,No internet service,446,1,1,0
127,62,Female,48,47.96,1417.78,One year,DSL,Yes,No internet service,No internet service,306,9,0,0
128,58,Male,28,29.13,2188.49,Two year,DSL,Yes,No internet service,Yes,626,6,2,1
129,46,Female,69,32.1,4902.83,Month-to-month,Fiber optic,No internet service,No,Yes,288,7,0,1
130,32,Male,40,38.03,384.14,Month-to-month,No,Yes,No,No,850,8,1,1
131,62,Male,45,40.08,2617.57,Month-to-month,DSL,Yes,No,No,87,6,0,1
132,18,Female,62,88.05,937.86,Month-to-month,DSL,Yes,No internet service,No,74,9,2,1
133,42,Male,58,64.9,4854.85,Two year,No,No internet service,No,No internet service,459,9,2,1
134,24,Male,67,61.87,610.85,Two year,No,No,Yes,No internet service,510,7,1,0
135,26,Male,56,29.18,2047.82,Two year,DSL,Yes,Yes,No internet service,620,8,1,0
136,41,Male,40,88.81,3702.53,One year,No,No internet service,Yes,No internet service,466,5,1,0
137,18,Male,40,77.83,3537.54,Two year,DSL,Yes,No internet service,No,406,9,1,0
138,61,Male,33,25.41,2142.51,Month-to-month,No,No internet service,Yes,No internet service,432,1,0,0
139,25,Female,6,76.63,1765.29,One year,No,Yes,No internet service,No internet service,858,1,0,0
140,41,Male,19,63.48,2018.18,Month-to-month,Fiber optic,No internet service,No internet service,No internet service,207,3,2,1
141,28,Male,40,26.54,1358.17,Month-to-month,No,Yes,Yes,No internet service,618,8,1,1
142,68,Female,59,56.66,1066.4,Two year,Fiber optic,No,No,Yes,482,6,1,1
143,34,Female,59,58.78,2441.05,Two year,No,Yes,No internet service,No,97,1,0,0
144,25,Female,48,33.26,1379.24,Month-to-month,DSL,No internet service,Yes,No,377,7,1,1
145,52,Female,41,95.66,1472.94,Month-to-month,DSL,Yes,No internet service,No internet service,482,6,2,1
146,52,Female,13,88.0,3300.94,One year,No,No,No,Yes,480,8,2,1
147,50,Female,45,73.52,4844.26,Two year,No,Yes,No,No,105,7,1,1
148,76,Female,53,56.98,3038.0,One year,DSL,No internet service,Yes,No,626,2,2,0
149,22,Male,42,52.94,431.05,One year,No,No internet service,No internet service,No internet service,317,0,2,0
150,59,Male,63,72.08,424.14,One year,Fiber optic,No,No internet service,No internet service,118,1,0,0
151,56,Female,27,63.63,4759.54,Month-to-month,Fiber optic,No internet service,No internet service,No,777,1,2,1
152,75,Male,38,24.98,1521.59,One year,Fiber optic,Yes,No internet service,No,951,3,1,0
153,58,Male,60,61.0,505.73,One year,Fiber optic,Yes,Yes,Yes,650,5,1,0
154,45,Male,7,84.51,3015.27,Month-to-month,Fiber optic,Yes,No,No,498,3,2,1
155,24,Female,5,56.74,3137.06,Two year,No,No internet service,Yes,No,842,8,1,1
156,26,Female,45,24.16,3260.1,Two year,No,Yes,No internet service,No internet service,306,3,0,0
157,25,Male,58,82.9,1373.64,One year,Fiber optic,Yes,No internet service,No,721,5,2,0
158,29,Female,31,36.11,124.8,Month-to-month,No,Yes,No,No internet service,539,5,2,1
159,51,Male,23,40.69,4826.83,Two year,No,No,No internet service,No,795,9,2,1
160,50,Male,42,33.18,1291.92,One year,Fiber optic,No internet service,Yes,No,692,9,1,0
161,65,Male,10,46.42,3396.33,One year,No,No internet service,Yes,No,98,0,1,0
162,72,Male,32,80.54,3547.82,Month-to-month,No,No internet service,No,Yes,708,7,2,1
